age,education,house_loan,contact,poutcome,y_newdeposit
26,secondary,yes,0,unknown,
31,secondary,no,0,unknown,0
35,secondary,no,0,unknown,0
31,secondary,no,0,unknown,0
29,secondary,yes,0,unknown,
33,primary,yes,0,unknown,0
29,secondary,yes,0,unknown,
53,secondary,yes,0,unknown,
33,secondary,yes,0,unknown,0
38,secondary,yes,0,unknown,0
33,tertiary,no,0,unknown,
42,primary,yes,0,unknown,0
51,primary,yes,0,unknown,0
40,secondary,yes,0,unknown,0
38,secondary,no,0,unknown,0
37,primary,yes,0,unknown,0
38,secondary,yes,0,unknown,
52,tertiary,yes,0,unknown,0
43,primary,yes,0,unknown,0
33,secondary,no,0,unknown,0
50,secondary,no,0,unknown,
30,secondary,yes,0,unknown,0
41,unknown,yes,0,unknown,0
43,primary,yes,0,unknown,0
39,secondary,yes,0,unknown,
40,secondary,yes,0,unknown,0
42,secondary,yes,0,unknown,
45,secondary,yes,0,unknown,0
39,unknown,yes,0,unknown,0
29,primary,yes,0,unknown,0
49,primary,yes,0,unknown,
37,primary,no,0,unknown,0
34,secondary,yes,0,unknown,0
35,primary,yes,0,unknown,0
59,unknown,yes,0,unknown,
46,primary,yes,0,unknown,0
31,secondary,yes,0,unknown,0
52,primary,yes,0,unknown,0
59,primary,yes,0,unknown,0
50,primary,yes,0,unknown,0
33,secondary,yes,0,unknown,
57,secondary,yes,0,unknown,0
43,primary,yes,0,unknown,
46,secondary,yes,0,unknown,0
38,primary,yes,0,unknown,
33,secondary,yes,0,unknown,0
48,secondary,yes,0,unknown,0
35,tertiary,yes,0,unknown,0
28,secondary,yes,0,unknown,0
29,secondary,yes,0,unknown,0
31,tertiary,yes,0,unknown,0
29,secondary,yes,0,unknown,0
34,secondary,yes,0,unknown,0
41,primary,yes,0,unknown,0
37,primary,yes,0,unknown,0
27,secondary,yes,0,unknown,0
38,primary,yes,0,unknown,0
36,secondary,yes,0,unknown,0
37,secondary,yes,0,unknown,0
51,primary,yes,0,unknown,0
33,secondary,yes,0,unknown,0
39,secondary,yes,0,unknown,0
28,secondary,yes,0,unknown,0
44,secondary,yes,0,unknown,0
36,primary,yes,0,unknown,0
30,secondary,yes,0,unknown,0
36,secondary,yes,0,unknown,
55,unknown,yes,0,unknown,0
45,secondary,yes,0,unknown,0
49,secondary,yes,0,unknown,0
41,tertiary,no,0,unknown,0
34,tertiary,yes,0,unknown,
35,tertiary,yes,0,unknown,0
37,unknown,yes,0,unknown,0
32,secondary,yes,0,unknown,0
57,tertiary,yes,0,unknown,0
35,tertiary,yes,0,unknown,
38,tertiary,yes,0,unknown,
39,tertiary,yes,0,unknown,0
26,secondary,yes,0,unknown,0
24,tertiary,yes,0,unknown,0
35,secondary,yes,0,unknown,
36,tertiary,no,0,unknown,0
44,secondary,yes,0,unknown,
31,secondary,yes,0,unknown,0
44,secondary,yes,0,unknown,0
31,tertiary,yes,0,unknown,
34,secondary,yes,0,unknown,0
50,secondary,yes,0,unknown,0
33,secondary,yes,0,unknown,0
41,secondary,yes,0,unknown,0
58,primary,no,0,unknown,0
40,primary,yes,0,unknown,
33,secondary,yes,0,unknown,
27,primary,yes,0,unknown,0
37,secondary,yes,0,unknown,0
51,primary,no,0,unknown,0
31,secondary,yes,0,unknown,0
26,tertiary,yes,0,unknown,0
51,secondary,yes,0,unknown,0
33,primary,yes,0,unknown,0
42,tertiary,yes,0,unknown,0
30,primary,yes,0,unknown,0
28,secondary,yes,0,unknown,0
30,tertiary,yes,0,unknown,0
40,unknown,yes,0,unknown,
46,primary,yes,0,unknown,0
47,secondary,yes,0,unknown,0
45,secondary,yes,0,unknown,0
39,secondary,no,0,unknown,0
26,secondary,no,0,unknown,0
32,secondary,yes,0,unknown,0
50,primary,no,0,unknown,0
35,secondary,yes,0,unknown,0
46,secondary,yes,0,unknown,
42,secondary,yes,0,unknown,0
33,unknown,no,0,unknown,0
50,primary,yes,0,unknown,
38,secondary,no,0,unknown,0
59,tertiary,no,0,unknown,
35,tertiary,yes,0,unknown,0
55,tertiary,yes,0,unknown,0
36,unknown,yes,0,unknown,0
41,secondary,yes,0,unknown,0
46,primary,yes,0,unknown,0
33,secondary,yes,0,unknown,0
41,tertiary,yes,0,unknown,0
29,secondary,yes,0,unknown,0
34,tertiary,yes,0,unknown,0
33,secondary,no,0,unknown,0
50,secondary,no,0,unknown,0
36,secondary,yes,0,unknown,0
39,tertiary,yes,0,unknown,0
32,primary,yes,0,unknown,0
32,secondary,yes,0,unknown,0
41,primary,yes,0,unknown,0
38,secondary,yes,0,unknown,0
36,secondary,yes,0,unknown,0
39,tertiary,yes,0,unknown,0
52,secondary,no,0,unknown,0
53,secondary,yes,0,unknown,
29,secondary,yes,0,unknown,
43,secondary,yes,0,unknown,
45,secondary,yes,0,unknown,
32,secondary,yes,0,unknown,0
31,secondary,yes,0,unknown,
31,secondary,yes,0,unknown,0
45,secondary,yes,0,unknown,0
28,secondary,yes,0,unknown,0
35,tertiary,yes,0,unknown,
49,secondary,yes,0,unknown,
33,primary,yes,0,unknown,
30,unknown,no,0,unknown,0
33,secondary,no,0,unknown,0
27,secondary,yes,0,unknown,0
32,tertiary,yes,0,unknown,0
40,tertiary,no,0,unknown,0
26,secondary,yes,0,unknown,0
59,secondary,yes,0,unknown,0
54,secondary,yes,0,unknown,0
22,secondary,yes,0,unknown,0
31,primary,yes,0,unknown,0
54,secondary,yes,0,unknown,0
28,tertiary,yes,0,unknown,0
35,tertiary,yes,0,unknown,0
43,tertiary,yes,0,unknown,0
31,secondary,no,0,unknown,0
37,secondary,yes,0,unknown,0
30,secondary,yes,0,unknown,0
29,primary,yes,0,unknown,
39,secondary,yes,0,unknown,0
27,tertiary,yes,0,unknown,0
46,secondary,yes,0,unknown,0
32,secondary,yes,0,unknown,0
36,unknown,yes,0,unknown,0
28,secondary,yes,0,unknown,0
43,primary,yes,0,unknown,0
31,secondary,yes,0,unknown,
35,primary,yes,0,unknown,0
29,tertiary,yes,0,unknown,0
58,primary,yes,0,unknown,0
36,secondary,yes,0,unknown,0
40,primary,yes,0,unknown,0
28,secondary,no,0,unknown,
39,primary,no,0,unknown,0
35,tertiary,yes,0,unknown,
34,tertiary,yes,0,unknown,0
27,tertiary,yes,0,unknown,0
33,secondary,yes,0,unknown,0
43,tertiary,yes,0,unknown,0
23,secondary,yes,0,unknown,0
41,unknown,yes,0,unknown,0
53,secondary,yes,0,unknown,0
33,tertiary,yes,0,unknown,
40,secondary,yes,0,unknown,0
51,secondary,yes,0,unknown,0
26,secondary,yes,0,unknown,0
41,secondary,yes,0,unknown,0
43,primary,yes,0,unknown,0
37,secondary,yes,0,unknown,0
32,secondary,yes,0,unknown,0
30,secondary,no,0,unknown,
37,secondary,yes,0,unknown,
31,secondary,yes,0,unknown,
47,tertiary,yes,0,unknown,0
33,primary,yes,0,unknown,0
27,secondary,yes,0,unknown,0
45,secondary,yes,0,unknown,
43,secondary,yes,0,unknown,0
35,secondary,yes,0,unknown,
32,secondary,yes,0,unknown,0
31,secondary,yes,0,unknown,0
30,tertiary,yes,0,unknown,0
29,secondary,yes,0,unknown,0
36,secondary,yes,0,unknown,
39,tertiary,yes,0,unknown,0
31,tertiary,yes,0,unknown,0
33,secondary,yes,0,unknown,
30,tertiary,yes,0,unknown,0
24,secondary,no,0,unknown,0
47,tertiary,yes,0,unknown,0
47,unknown,yes,0,unknown,0
29,secondary,yes,0,unknown,0
35,tertiary,yes,0,unknown,0
38,secondary,yes,0,unknown,0
51,tertiary,yes,0,unknown,0
29,secondary,yes,0,unknown,0
33,primary,yes,0,unknown,0
38,secondary,no,0,unknown,0
57,secondary,yes,0,unknown,0
34,secondary,yes,0,unknown,0
32,primary,yes,0,unknown,0
49,secondary,yes,0,unknown,0
30,secondary,yes,0,unknown,0
56,tertiary,yes,0,unknown,
27,secondary,yes,0,unknown,0
40,secondary,yes,0,unknown,0
34,secondary,yes,0,unknown,0
57,secondary,yes,0,unknown,
57,unknown,no,0,unknown,
49,secondary,no,0,unknown,0
56,secondary,yes,0,unknown,0
50,tertiary,yes,0,unknown,0
34,secondary,yes,0,unknown,0
34,secondary,yes,0,unknown,0
25,secondary,yes,0,unknown,0
33,secondary,yes,0,unknown,0
54,secondary,yes,0,unknown,0
43,secondary,yes,0,unknown,0
27,secondary,yes,0,unknown,0
29,tertiary,yes,0,unknown,0
37,secondary,yes,0,unknown,0
35,tertiary,yes,0,unknown,0
40,secondary,yes,0,unknown,0
31,secondary,yes,0,unknown,0
31,tertiary,yes,0,unknown,0
26,secondary,yes,0,unknown,0
34,secondary,yes,0,unknown,0
43,secondary,yes,0,unknown,0
35,secondary,yes,0,unknown,0
36,primary,yes,0,unknown,0
46,secondary,yes,0,unknown,0
32,tertiary,yes,0,unknown,0
54,primary,no,0,unknown,
36,primary,yes,0,unknown,0
30,secondary,yes,0,unknown,0
48,secondary,yes,0,unknown,0
44,secondary,yes,0,unknown,0
28,secondary,yes,0,unknown,0
40,secondary,yes,0,unknown,0
37,secondary,yes,0,unknown,0
29,secondary,yes,0,unknown,0
29,secondary,yes,0,unknown,0
26,secondary,yes,0,unknown,0
35,tertiary,yes,0,unknown,0
49,secondary,yes,0,unknown,0
31,secondary,yes,0,unknown,0
26,tertiary,yes,0,unknown,0
48,secondary,yes,0,unknown,0
54,secondary,yes,0,unknown,0
24,secondary,yes,0,unknown,0
37,secondary,no,0,unknown,0
56,secondary,yes,0,unknown,0
37,secondary,yes,0,unknown,
28,secondary,yes,0,unknown,0
33,secondary,no,0,unknown,0
38,secondary,yes,0,unknown,0
38,secondary,yes,0,unknown,0
28,secondary,yes,0,unknown,0
50,secondary,yes,0,unknown,0
33,primary,yes,0,unknown,0
40,secondary,yes,0,unknown,0
32,secondary,yes,0,unknown,0
46,secondary,yes,0,unknown,0
34,tertiary,yes,0,unknown,0
25,secondary,yes,0,unknown,
55,primary,yes,0,unknown,
35,tertiary,yes,0,unknown,0
26,secondary,yes,0,unknown,0
26,secondary,no,0,unknown,0
27,secondary,yes,0,unknown,0
25,secondary,yes,0,unknown,0
37,secondary,yes,0,unknown,0
26,secondary,yes,0,unknown,0
24,secondary,yes,0,unknown,0
45,secondary,yes,0,unknown,0
34,primary,yes,0,unknown,0
33,tertiary,yes,0,unknown,0
22,secondary,yes,0,unknown,
30,secondary,yes,0,unknown,0
42,secondary,yes,0,unknown,
24,secondary,yes,0,unknown,0
23,secondary,yes,0,unknown,0
44,primary,yes,0,unknown,0
51,unknown,yes,0,unknown,
26,secondary,yes,0,unknown,
39,secondary,yes,0,unknown,0
25,secondary,yes,0,unknown,0
41,primary,yes,0,unknown,0
52,secondary,yes,0,unknown,0
46,secondary,yes,0,unknown,0
54,unknown,yes,0,unknown,0
51,unknown,yes,0,unknown,0
55,unknown,yes,0,unknown,
44,tertiary,yes,0,unknown,
52,secondary,yes,0,unknown,0
49,secondary,yes,0,unknown,
51,secondary,no,0,unknown,0
59,tertiary,yes,0,unknown,0
52,secondary,yes,0,unknown,
37,secondary,yes,0,unknown,
44,secondary,yes,0,unknown,0
56,secondary,yes,0,unknown,0
27,secondary,yes,0,unknown,
34,tertiary,yes,0,unknown,0
31,secondary,yes,0,unknown,0
46,secondary,yes,0,unknown,
45,secondary,yes,0,unknown,0
46,primary,yes,0,unknown,
41,unknown,yes,0,unknown,0
44,tertiary,yes,0,unknown,
46,tertiary,yes,0,unknown,
53,secondary,yes,0,unknown,0
41,secondary,yes,0,unknown,
35,secondary,yes,0,unknown,0
49,secondary,yes,0,unknown,0
59,primary,yes,0,unknown,0
42,secondary,yes,0,unknown,0
44,primary,yes,0,unknown,
32,secondary,yes,0,unknown,0
44,secondary,yes,0,unknown,0
53,secondary,yes,0,unknown,0
26,tertiary,yes,0,unknown,
52,secondary,yes,0,unknown,0
58,primary,yes,0,unknown,0
32,secondary,yes,0,unknown,0
47,secondary,yes,0,unknown,0
36,secondary,yes,0,unknown,
55,secondary,yes,0,unknown,0
24,primary,yes,0,unknown,0
25,secondary,yes,0,unknown,0
26,secondary,yes,0,unknown,0
42,secondary,yes,0,unknown,0
55,secondary,yes,0,unknown,
49,primary,yes,0,unknown,0
59,unknown,yes,0,unknown,0
38,primary,no,0,unknown,0
37,secondary,yes,0,unknown,0
35,primary,yes,0,unknown,0
40,tertiary,yes,0,unknown,0
41,primary,yes,0,unknown,0
38,tertiary,yes,0,unknown,0
25,secondary,yes,0,unknown,0
57,primary,yes,0,unknown,0
52,secondary,yes,0,unknown,
49,secondary,yes,0,unknown,0
30,secondary,no,0,unknown,0
58,unknown,yes,0,unknown,
31,primary,yes,0,unknown,0
41,secondary,yes,0,unknown,
54,secondary,yes,0,unknown,
46,secondary,yes,0,unknown,0
48,primary,yes,0,unknown,0
42,primary,yes,0,unknown,0
45,tertiary,yes,0,unknown,0
51,unknown,yes,0,unknown,0
50,secondary,yes,0,unknown,0
45,tertiary,yes,0,unknown,0
53,primary,yes,0,unknown,0
33,secondary,yes,0,unknown,0
50,secondary,yes,0,unknown,0
42,tertiary,no,0,unknown,0
40,secondary,yes,0,unknown,0
49,secondary,yes,0,unknown,0
40,primary,yes,0,unknown,0
42,secondary,yes,0,unknown,0
40,primary,yes,0,unknown,
54,tertiary,no,0,unknown,0
41,secondary,yes,0,unknown,0
53,secondary,yes,0,unknown,0
46,secondary,yes,0,unknown,0
47,secondary,no,0,unknown,
54,primary,yes,0,unknown,0
48,secondary,no,0,unknown,0
42,secondary,no,0,unknown,0
47,secondary,yes,0,unknown,0
54,secondary,yes,0,unknown,
53,tertiary,yes,0,unknown,0
42,tertiary,yes,0,unknown,
43,primary,yes,0,unknown,0
45,primary,yes,0,unknown,0
49,secondary,yes,0,unknown,0
42,secondary,yes,0,unknown,
49,primary,yes,0,unknown,0
33,secondary,yes,0,unknown,0
53,primary,yes,0,unknown,
40,secondary,yes,0,unknown,0
43,secondary,yes,0,unknown,0
45,primary,yes,0,unknown,0
41,secondary,yes,0,unknown,0
42,primary,yes,0,unknown,0
46,secondary,yes,0,unknown,0
50,secondary,yes,0,unknown,0
28,secondary,yes,0,unknown,0
46,secondary,yes,0,unknown,
56,secondary,yes,0,unknown,0
40,secondary,yes,0,unknown,0
31,tertiary,yes,0,unknown,0
56,secondary,yes,0,unknown,0
54,secondary,yes,0,unknown,0
42,primary,yes,0,unknown,
41,primary,yes,0,unknown,0
35,primary,yes,0,unknown,0
38,secondary,yes,0,unknown,0
51,secondary,yes,0,unknown,0
60,secondary,yes,0,unknown,0
44,secondary,yes,0,unknown,0
26,secondary,yes,0,unknown,0
42,secondary,yes,0,unknown,0
50,secondary,yes,0,unknown,0
41,tertiary,yes,0,unknown,0
34,tertiary,yes,0,unknown,
51,secondary,yes,0,unknown,0
29,secondary,no,0,unknown,0
51,primary,yes,0,unknown,
49,primary,yes,0,unknown,
41,primary,yes,0,unknown,0
45,secondary,yes,0,unknown,
29,secondary,yes,0,unknown,
41,primary,yes,0,unknown,0
29,primary,yes,0,unknown,0
45,primary,yes,0,unknown,0
31,secondary,yes,0,unknown,
44,secondary,yes,0,unknown,0
30,secondary,yes,0,unknown,
30,primary,yes,0,unknown,0
41,secondary,yes,0,unknown,0
29,secondary,yes,0,unknown,
46,secondary,yes,0,unknown,0
38,secondary,yes,0,unknown,
38,secondary,yes,0,unknown,0
38,secondary,yes,0,unknown,0
44,secondary,yes,0,unknown,
43,secondary,yes,0,unknown,0
42,primary,yes,0,unknown,
52,secondary,yes,0,unknown,0
57,primary,yes,0,unknown,0
50,secondary,yes,0,unknown,0
47,secondary,yes,0,unknown,
47,secondary,yes,0,unknown,0
52,secondary,no,0,unknown,0
36,secondary,yes,0,unknown,
57,secondary,yes,0,unknown,0
41,tertiary,no,0,unknown,
45,secondary,yes,0,unknown,0
34,secondary,yes,0,unknown,0
39,primary,yes,0,unknown,
50,secondary,yes,0,unknown,0
50,tertiary,yes,0,unknown,0
51,secondary,no,0,unknown,0
47,tertiary,no,0,unknown,0
48,secondary,yes,0,unknown,0
54,tertiary,yes,0,unknown,0
43,secondary,yes,0,unknown,0
42,tertiary,yes,0,unknown,0
48,secondary,yes,0,unknown,0
45,primary,yes,0,unknown,0
57,secondary,yes,0,unknown,0
42,secondary,yes,0,unknown,0
60,tertiary,yes,0,unknown,
54,secondary,yes,0,unknown,0
47,primary,yes,0,unknown,0
44,primary,yes,0,unknown,0
58,secondary,yes,0,unknown,0
40,secondary,yes,0,unknown,0
48,primary,yes,0,unknown,0
54,primary,yes,0,unknown,0
40,secondary,yes,0,unknown,0
47,secondary,yes,0,unknown,0
40,secondary,yes,0,unknown,0
56,secondary,yes,0,unknown,0
45,secondary,yes,0,unknown,0
42,primary,yes,0,unknown,0
44,secondary,no,0,unknown,
49,primary,yes,0,unknown,0
42,secondary,yes,0,unknown,0
50,secondary,yes,0,unknown,0
54,unknown,yes,0,unknown,0
41,primary,yes,0,unknown,0
60,primary,no,0,unknown,0
55,secondary,yes,0,unknown,0
47,primary,yes,0,unknown,
34,secondary,yes,0,unknown,
35,secondary,yes,0,unknown,0
55,secondary,yes,0,unknown,
32,secondary,yes,0,unknown,0
30,tertiary,yes,0,unknown,
56,tertiary,yes,0,unknown,0
58,secondary,no,0,unknown,
46,secondary,yes,0,unknown,
48,primary,yes,0,unknown,0
30,secondary,yes,0,unknown,0
41,secondary,yes,0,unknown,0
58,secondary,yes,0,unknown,0
54,primary,yes,0,unknown,0
34,secondary,yes,0,unknown,0
41,secondary,yes,0,unknown,
27,primary,yes,0,unknown,
43,tertiary,yes,0,unknown,0
35,primary,yes,0,unknown,0
55,secondary,yes,0,unknown,0
33,secondary,yes,0,unknown,0
33,tertiary,yes,0,unknown,
59,tertiary,yes,0,unknown,0
47,tertiary,yes,0,unknown,0
26,secondary,yes,0,unknown,0
33,secondary,yes,0,unknown,
52,unknown,yes,0,unknown,
54,primary,yes,0,unknown,
30,secondary,yes,0,unknown,
48,secondary,yes,0,unknown,
59,secondary,yes,0,unknown,
44,secondary,yes,0,unknown,0
59,primary,yes,0,unknown,0
44,primary,yes,0,unknown,0
48,primary,yes,0,unknown,0
58,secondary,yes,0,unknown,0
43,primary,yes,0,unknown,0
51,secondary,yes,0,unknown,0
50,primary,yes,0,unknown,0
31,secondary,no,0,unknown,0
56,secondary,yes,0,unknown,
43,primary,yes,0,unknown,0
48,primary,yes,0,unknown,0
42,primary,no,0,unknown,0
44,secondary,yes,0,unknown,0
30,secondary,yes,0,unknown,0
44,primary,yes,0,unknown,0
31,secondary,yes,0,unknown,0
56,primary,yes,0,unknown,0
40,primary,yes,0,unknown,0
59,secondary,yes,0,unknown,0
55,tertiary,yes,0,unknown,0
33,secondary,yes,0,unknown,0
52,secondary,yes,0,unknown,0
56,secondary,yes,0,unknown,0
52,secondary,yes,0,unknown,0
55,secondary,yes,0,unknown,0
31,tertiary,no,0,unknown,0
52,primary,yes,0,unknown,0
60,primary,yes,0,unknown,0
51,secondary,yes,0,unknown,0
50,secondary,yes,0,unknown,0
41,tertiary,yes,0,unknown,0
53,primary,yes,0,unknown,0
39,unknown,yes,0,unknown,0
55,secondary,yes,0,unknown,0
40,secondary,no,0,unknown,0
26,secondary,yes,0,unknown,0
46,secondary,yes,0,unknown,0
31,secondary,yes,0,unknown,0
43,unknown,yes,0,unknown,0
30,secondary,yes,0,unknown,
40,secondary,yes,0,unknown,0
32,secondary,yes,0,unknown,
43,secondary,no,0,unknown,0
50,secondary,yes,0,unknown,0
24,secondary,yes,0,unknown,0
59,primary,yes,0,unknown,0
40,secondary,yes,0,unknown,0
33,secondary,no,0,unknown,0
36,tertiary,yes,0,unknown,0
36,tertiary,yes,0,unknown,0
32,secondary,yes,0,unknown,0
29,secondary,yes,0,unknown,0
36,tertiary,yes,0,unknown,
30,secondary,yes,0,unknown,0
56,secondary,yes,0,unknown,0
30,unknown,yes,0,unknown,0
30,secondary,yes,0,unknown,0
45,secondary,yes,0,unknown,0
30,secondary,yes,0,unknown,0
29,primary,yes,0,unknown,0
38,secondary,no,0,unknown,0
37,primary,yes,0,unknown,0
27,primary,yes,0,unknown,0
27,secondary,yes,0,unknown,0
58,primary,yes,0,unknown,0
36,secondary,yes,0,unknown,0
25,secondary,yes,0,unknown,0
24,secondary,yes,0,unknown,0
45,primary,no,0,unknown,0
52,secondary,yes,0,unknown,0
59,secondary,yes,0,unknown,0
37,unknown,no,0,unknown,0
32,secondary,yes,0,unknown,0
40,tertiary,yes,0,unknown,
41,primary,yes,0,unknown,0
44,secondary,yes,0,unknown,0
27,tertiary,yes,0,unknown,0
44,secondary,yes,0,unknown,0
54,primary,yes,0,unknown,
41,secondary,yes,0,unknown,0
53,secondary,yes,0,unknown,0
28,tertiary,yes,0,unknown,0
44,primary,yes,0,unknown,0
32,tertiary,yes,0,unknown,0
47,primary,yes,0,unknown,0
33,secondary,no,0,unknown,0
30,secondary,yes,0,unknown,0
44,secondary,yes,0,unknown,
29,secondary,yes,0,unknown,
48,secondary,yes,0,unknown,
55,unknown,yes,0,unknown,0
